Date,Day-ahead Total Load Forecast [MW],Actual Total Load [MW],Solar Generation (MW),Solar hours (h),Solar Prognose (Day-Ahead D-1 18:00),Solar_diff,Solar_Prognose_diff,Monthly_Avg_Price,Price (EUR/MWhe)_y,GPRHC_DEU,GPRHC_RUS,GPRHC_UKR,GPRHC_USA
August 2018,162783556.0,164844757.0,20733857.0,248.9,20897589.8,144079639.4,141857172.89999998,56.22,56.21612903225807,0.28657618165016174,1.0256410837173462,0.16591252386569977,2.6696832180023193
September 2018,157307652.0,160855463.0,16277268.0,206.5,16233107.4,144564003.79999998,141066588.5,54.76,54.75866666666666,0.17502917349338531,0.8751458525657654,0.11668611317873001,1.8669778108596802
October 2018,167758827.0,172726244.0,10994336.0,157.2,11325811.0,161596472.39999998,156280842.6,53.08,53.082258064516125,0.3851091265678406,0.755954921245575,0.08557980507612228,2.1537582874298096
November 2018,169217298.0,174248168.0,4683822.0,75.1,5122210.5,169571906.9,164102678.0,56.68,56.681,0.23242300748825073,0.7263219356536865,0.17431725561618805,1.8739105463027954
December 2018,167604882.0,174252846.0,2098638.0,25.2,2158353.1,172121977.0,165416044.3,48.11,48.11032258064516,0.21631644666194916,0.8498145937919617,0.12360939383506775,2.30222487449646
January 2019,176775678.0,185751437.0,2980086.0,44.0,3040333.2,182743251.5,173782248.5,49.41,49.413225806451614,0.2808988690376282,0.9757539629936218,0.07392075657844543,2.365464210510254
February 2019,160700754.0,165412057.0,8765069.0,128.9,8422599.3,156429656.2,152058376.29999998,42.81,42.81428571428571,0.3436988592147827,1.0965629816055298,0.016366612166166306,2.716857671737671
March 2019,167893622.0,174654148.0,12099502.0,113.2,11763721.5,162672982.3,156460361.9,30.61,30.616129032258065,0.13009540736675262,0.549291729927063,0.05782017856836319,2.2983522415161133
April 2019,150816097.0,157895903.0,19972329.0,227.9,20714309.4,137452268.39999998,130092198.7,36.97,36.973,0.16902273893356323,0.8758451342582703,0.15365703403949738,2.1665642261505127
May 2019,152721800.0,162497609.0,20019257.0,179.6,19363017.6,142385840.1,133361024.8,37.83,37.832258064516125,0.3581554889678955,1.0595433712005615,0.08953887224197388,2.745858907699585
June 2019,145434562.0,152469591.0,25849480.0,308.1,25793215.5,126684250.20000002,119648806.9,32.5,32.504666666666665,0.5134400725364685,0.9664753675460815,0.10570824891328812,2.6276049613952637
July 2019,161134754.0,163742879.0,22938334.0,232.4,22882675.3,140805115.0,138273612.1,39.71,39.71258064516129,0.45770201086997986,0.8680555820465088,0.14204545319080353,2.5410354137420654
August 2019,154000170.0,158218830.0,21114242.0,226.9,20971352.8,137082183.70000002,132992504.5,36.82,36.81870967741936,0.5222734212875366,0.9523809552192688,0.15360982716083527,3.3794162273406982
September 2019,152083619.0,157624713.0,15656718.0,162.8,15399716.8,142006066.2,136720740.5,35.77,35.76533333333334,0.3212147653102875,0.6716309189796448,0.23361074924468994,2.4091107845306396
October 2019,162833713.0,169461398.0,9715809.0,107.6,9940072.5,159538419.4,152729104.7,36.95,36.94741935483871,0.2872737646102905,1.177822470664978,0.3447285294532776,2.599827527999878
November 2019,164130573.0,172064059.0,4193336.0,43.8,4436748.8,167811976.0,159687282.39999998,41.0,41.00533333333333,0.2450229674577713,0.6584992408752441,0.30627870559692383,2.3277182579040527
December 2019,166640250.0,169672037.0,3732091.0,59.0,3540457.5,165877754.29999998,163099951.8,31.97,31.97,0.2383222132921219,0.5878614783287048,0.17476962506771088,1.8271369934082031
January 2020,175043453.0,181296381.0,4387566.0,59.2,4257956.1,176972896.2,170815761.20000002,34.98,34.979032258064514,0.754124104976654,1.1311861276626587,0.4084838926792145,3.770620584487915
February 2020,167179119.0,172517607.0,6684693.0,63.9,6614952.9,165765062.29999998,160540308.4,21.91,21.91241379310345,0.44364115595817566,0.7558330297470093,0.2300361543893814,2.2674992084503174
March 2020,171732015.0,171356079.0,16416290.0,175.8,16465622.0,155003524.4,155461316.9,22.52,22.52,0.376449316740036,0.40656527876853943,0.015057973563671112,2.845957040786743
April 2020,147709858.0,146099609.0,25268855.0,292.4,25348823.2,120687434.7,122316332.7,17.05,17.049333333333333,0.1664648950099945,0.43886199593544006,0.09079903364181519,2.406174421310425
May 2020,148652596.0,148437234.0,24786148.0,240.5,24652455.2,123478669.4,123961223.5,17.6,17.60483870967742,0.36148062348365784,0.3903990685939789,0.1301330178976059,2.7038750648498535
June 2020,144314517.0,145788728.0,22875310.0,214.7,22951775.8,122899854.0,121397978.2,26.23,26.228,0.19880715012550354,0.5658357739448547,0.15292857587337494,2.3398072719573975
July 2020,151433907.0,153824688.0,25137319.0,232.9,24742895.6,128651190.4,126683508.3,30.07,30.074838709677422,0.22153301537036896,0.42829716205596924,0.05907546728849411,2.215330123901367
August 2020,149563086.0,154023564.0,21754172.0,221.6,21858117.6,132240922.7,127712752.6,34.89,34.88967741935484,0.42844900488853455,0.7140817046165466,0.24278777837753296,1.9851471185684204
September 2020,148975894.0,154704255.0,18518957.0,207.1,18605809.6,136261799.4,130400643.6,43.68,43.678666666666665,0.5219985246658325,0.8799403309822083,0.22371365129947662,2.147650957107544
October 2020,165261031.0,170812591.0,8651469.0,67.4,8841742.9,162047225.2,156223566.6,33.96,33.95483870967742,0.2679452896118164,0.5499929785728455,0.09871668368577957,1.9602313041687012
November 2020,164936192.0,170868726.0,6068159.0,85.7,6410896.5,164830741.6,158558902.1,38.8,38.796,0.19391408562660217,0.5071598887443542,0.17899760603904724,1.819809079170227
December 2020,165598704.0,171831344.0,2740057.0,34.8,2689476.7,169120509.79999998,162878160.10000002,43.55,43.54548387096774,0.46403712034225464,0.6960557103157043,0.09280742704868317,2.0262954235076904
January 2021,169915903.0,182525776.0,2451561.0,30.0,2552163.3,180078880.4,167382363.6,52.79,52.79258064516129,0.2582125961780548,0.35862860083580017,0.10041601210832596,2.2234973907470703
February 2021,160035472.0,167035499.0,7973911.0,107.3,8010501.6,158950072.5,152014765.9,48.71,48.70821428571429,0.39030736684799194,0.5041469931602478,0.09757684171199799,1.870222806930542
March 2021,169141915.0,179519435.0,16532683.0,146.7,16122123.2,163069954.1,153206856.60000002,47.18,47.181612903225805,0.2671019434928894,0.6232378482818604,0.08903398364782333,1.9439085721969604
April 2021,154461323.0,164219830.0,21853638.0,183.5,21516235.8,142317126.4,132926929.3,53.66,53.658,0.5217124223709106,0.9513579607009888,0.4296455383300781,2.132883310317993
May 2021,160765038.0,160913911.0,23590114.0,168.4,23210032.4,137372102.5,137563176.79999998,53.33,53.33193548387096,0.28194093704223633,0.5638818740844727,0.20774595439434052,2.522629499435425
June 2021,155280313.0,157916815.0,28505310.0,257.2,28504509.5,129543065.3,126799861.0,74.13,74.13066666666667,0.40996530652046204,0.8514664173126221,0.31535792350769043,2.1286659240722656
