"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","03.01.2024 05:15 - 03.01.2024 05:30 (CET/CEST)","2"
"Germany (DE)","03.01.2024 05:30 - 03.01.2024 05:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 05:45 - 03.01.2024 06:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 06:00 - 03.01.2024 06:15 (CET/CEST)","3"
"Germany (DE)","03.01.2024 06:15 - 03.01.2024 06:30 (CET/CEST)","2"
"Germany (DE)","03.01.2024 06:30 - 03.01.2024 06:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 06:45 - 03.01.2024 07:00 (CET/CEST)","3"
"Germany (DE)","03.01.2024 07:00 - 03.01.2024 07:15 (CET/CEST)","2"
"Germany (DE)","03.01.2024 07:15 - 03.01.2024 07:30 (CET/CEST)","2"
"Germany (DE)","03.01.2024 07:30 - 03.01.2024 07:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 07:45 - 03.01.2024 08:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 08:00 - 03.01.2024 08:15 (CET/CEST)","10"
"Germany (DE)","03.01.2024 08:15 - 03.01.2024 08:30 (CET/CEST)","84"
"Germany (DE)","03.01.2024 08:30 - 03.01.2024 08:45 (CET/CEST)","399"
"Germany (DE)","03.01.2024 08:45 - 03.01.2024 09:00 (CET/CEST)","871"
"Germany (DE)","03.01.2024 09:00 - 03.01.2024 09:15 (CET/CEST)","1453"
"Germany (DE)","03.01.2024 09:15 - 03.01.2024 09:30 (CET/CEST)","2135"
"Germany (DE)","03.01.2024 09:30 - 03.01.2024 09:45 (CET/CEST)","2799"
"Germany (DE)","03.01.2024 09:45 - 03.01.2024 10:00 (CET/CEST)","3478"
"Germany (DE)","03.01.2024 10:00 - 03.01.2024 10:15 (CET/CEST)","4152"
"Germany (DE)","03.01.2024 10:15 - 03.01.2024 10:30 (CET/CEST)","4963"
"Germany (DE)","03.01.2024 10:30 - 03.01.2024 10:45 (CET/CEST)","5420"
"Germany (DE)","03.01.2024 10:45 - 03.01.2024 11:00 (CET/CEST)","5815"
"Germany (DE)","03.01.2024 11:00 - 03.01.2024 11:15 (CET/CEST)","6102"
"Germany (DE)","03.01.2024 11:15 - 03.01.2024 11:30 (CET/CEST)","6157"
"Germany (DE)","03.01.2024 11:30 - 03.01.2024 11:45 (CET/CEST)","6233"
"Germany (DE)","03.01.2024 11:45 - 03.01.2024 12:00 (CET/CEST)","6314"
"Germany (DE)","03.01.2024 12:00 - 03.01.2024 12:15 (CET/CEST)","6434"
"Germany (DE)","03.01.2024 12:15 - 03.01.2024 12:30 (CET/CEST)","6514"
"Germany (DE)","03.01.2024 12:30 - 03.01.2024 12:45 (CET/CEST)","6763"
"Germany (DE)","03.01.2024 12:45 - 03.01.2024 13:00 (CET/CEST)","6639"
"Germany (DE)","03.01.2024 13:00 - 03.01.2024 13:15 (CET/CEST)","6507"
"Germany (DE)","03.01.2024 13:15 - 03.01.2024 13:30 (CET/CEST)","6257"
"Germany (DE)","03.01.2024 13:30 - 03.01.2024 13:45 (CET/CEST)","6173"
"Germany (DE)","03.01.2024 13:45 - 03.01.2024 14:00 (CET/CEST)","6022"
"Germany (DE)","03.01.2024 14:00 - 03.01.2024 14:15 (CET/CEST)","5363"
"Germany (DE)","03.01.2024 14:15 - 03.01.2024 14:30 (CET/CEST)","4711"
"Germany (DE)","03.01.2024 14:30 - 03.01.2024 14:45 (CET/CEST)","3881"
"Germany (DE)","03.01.2024 14:45 - 03.01.2024 15:00 (CET/CEST)","3132"
"Germany (DE)","03.01.2024 15:00 - 03.01.2024 15:15 (CET/CEST)","2473"
"Germany (DE)","03.01.2024 15:15 - 03.01.2024 15:30 (CET/CEST)","1921"
"Germany (DE)","03.01.2024 15:30 - 03.01.2024 15:45 (CET/CEST)","1369"
"Germany (DE)","03.01.2024 15:45 - 03.01.2024 16:00 (CET/CEST)","781"
"Germany (DE)","03.01.2024 16:00 - 03.01.2024 16:15 (CET/CEST)","332"
"Germany (DE)","03.01.2024 16:15 - 03.01.2024 16:30 (CET/CEST)","84"
"Germany (DE)","03.01.2024 16:30 - 03.01.2024 16:45 (CET/CEST)","9"
"Germany (DE)","03.01.2024 16:45 - 03.01.2024 17:00 (CET/CEST)","4"
"Germany (DE)","03.01.2024 17:00 - 03.01.2024 17:15 (CET/CEST)","3"
"Germany (DE)","03.01.2024 17:15 - 03.01.2024 17:30 (CET/CEST)","3"
"Germany (DE)","03.01.2024 17:30 - 03.01.2024 17:45 (CET/CEST)","4"
"Germany (DE)","03.01.2024 17:45 - 03.01.2024 18:00 (CET/CEST)","5"
"Germany (DE)","03.01.2024 18:00 - 03.01.2024 18:15 (CET/CEST)","2"
"Germany (DE)","03.01.2024 18:15 - 03.01.2024 18:30 (CET/CEST)","3"
